Date,Open,High,Low,Last Close
2021-06-25,364,364,364,364
2021-06-28,364,364,364,364
2021-06-29,365,366,365,366
2021-06-30,368,368,368,368
2021-07-01,369,369,369,369
2021-07-05,372,373,372,373
2021-07-06,372,372,372,372
2021-07-07,373,374,373,374
2021-07-08,373,373,370,370
2021-07-09,374,374,374,374
2021-07-12,374,375,374,375
2021-07-13,375,378,375,378
2021-07-14,376,376,376,376
2021-07-15,375,375,375,375
2021-07-16,375,375,374,374
2021-07-19,372,372,367,367
2021-07-20,369,372,369,372
2021-07-21,374,374,374,374
2021-07-22,376,376,376,376
2021-07-23,378,381,378,381
2021-07-26,380,380,380,380
2021-07-27,380,380,377,377
2021-07-28,379,379,379,379
2021-07-29,378,378,378,378
2021-07-30,375,377,375,377
2021-08-02,378,378,378,378
2021-08-03,376,376,376,376
2021-08-04,378,379,378,378
2021-08-05,378,380,378,380
2021-08-06,380,383,380,383
2021-08-09,384,384,383,383
2021-08-10,385,385,385,385
2021-08-11,385,386,385,385
2021-08-12,385,385,385,385
2021-08-13,385,385,385,385
2021-08-16,384,384,384,384
2021-08-17,386,386,386,386
2021-08-18,386,386,386,386
2021-08-19,380,383,380,383
2021-08-20,383,386,383,386
2021-08-23,387,389,387,389
2021-08-24,389,389,388,388
2021-08-25,389,389,389,389
2021-08-26,388,388,387,387
2021-08-27,387,387,387,387
2021-08-30,391,391,391,391
2021-08-31,391,391,390,390
2021-09-01,391,391,389,389
2021-09-02,389,390,389,390
2021-09-03,389,390,388,388
2021-09-06,390,390,390,390
2021-09-07,389,389,388,388
2021-09-08,388,388,388,388
2021-09-09,387,389,387,389
2021-09-10,388,388,385,385
2021-09-13,387,387,385,385
2021-09-14,385,385,384,384
2021-09-15,384,384,384,384
2021-09-16,387,387,386,386
2021-09-17,387,387,385,385
2021-09-20,381,381,378,378
2021-09-21,381,381,379,379
2021-09-22,380,382,380,382
2021-09-23,384,386,384,386
2021-09-24,385,386,385,386
2021-09-27,389,389,387,387
2021-09-28,386,386,380,380
2021-09-29,382,383,382,383
2021-09-30,386,386,383,383
2021-10-01,380,380,380,380
2021-10-04,381,381,376,376
2021-10-05,378,382,378,382
2021-10-06,380,381,380,381
2021-10-07,387,390,387,390
2021-10-08,389,389,388,388
2021-10-11,385,388,385,388
2021-10-12,381,385,381,385
2021-10-13,383,383,382,382
2021-10-14,385,389,385,389
2021-10-15,391,392,391,392
2021-10-18,393,393,393,393
2021-10-19,393,395,393,395
2021-10-20,395,397,395,397
2021-10-21,396,396,396,396
2021-10-22,397,398,397,397
2021-10-25,400,400,400,400
2021-10-27,402,402,402,402
2021-10-28,400,400,400,400
2021-10-29,399,405,399,405
2021-11-01,408,408,405,405
2021-11-02,405,407,405,407
2021-11-03,407,407,407,407
2021-11-04,411,413,411,413
2021-11-05,412,416,412,416
2021-11-08,414,414,413,414
2021-11-09,413,413,412,412
2021-11-10,413,414,413,414
2021-11-11,412,414,412,414
2021-11-12,414,417,414,417
2021-11-15,417,418,417,418
2021-11-16,418,423,418,423
2021-11-17,424,424,424,424
2021-11-18,424,424,422,422
2021-11-19,424,425,424,425
2021-11-22,425,431,425,429
2021-11-23,424,424,424,424
2021-11-24,425,428,425,428
2021-11-25,429,429,428,428
2021-11-26,420,420,414,414
2021-11-29,418,420,418,420
2021-11-30,420,420,415,415
2021-12-01,414,418,414,418
2021-12-02,409,411,407,411
2021-12-03,415,415,410,410
2021-12-06,413,414,413,414
2021-12-07,419,425,419,425
2021-12-08,425,425,422,422
2021-12-09,423,424,423,424
